mechanicId,trackAStatus,trackBStatus,nearPeerStatus,classification,productionTreatment,limitation
job:J4,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
job:J5,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
job:J7,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
job:J8,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
proof:P0,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
proof:P1,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
proof:P2,not_observed,heuristic_top100_signal,not_observed,top100_heuristic_signal,inspiration_or_one_variable_test,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
proof:P3,not_observed,heuristic_top100_signal,heuristic_positive,top100_heuristic_signal,inspiration_or_one_variable_test,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
proof:P4,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
proof:P5,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
proof:P6,not_observed,heuristic_top100_signal,not_observed,top100_heuristic_signal,inspiration_or_one_variable_test,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
artifact:AR0,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
artifact:AR1,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
artifact:AR2,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
artifact:AR3,heuristic_peer_signal,not_observed,heuristic_positive,peer_heuristic_signal,consider_one_variable_peer_test,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
artifact:AR4,not_observed,heuristic_top100_signal,not_observed,top100_heuristic_signal,inspiration_or_one_variable_test,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
artifact:AR5,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
contentClass:K1,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
contentClass:K2,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
contentClass:K3,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
contentClass:K4,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
contentClass:K5,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
contentClass:K6,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
contentClass:K7,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
contentClass:K8,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
problemFamily:PB1,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
problemFamily:PB10,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
problemFamily:PB11,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
problemFamily:PB12,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
problemFamily:PB2,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
problemFamily:PB3,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
problemFamily:PB4,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
problemFamily:PB5,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
problemFamily:PB6,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
problemFamily:PB7,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
problemFamily:PB8,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
problemFamily:PB9,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
cta:C0,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
cta:C1,not_observed,heuristic_top100_signal,heuristic_positive,top100_heuristic_signal,inspiration_or_one_variable_test,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
cta:C2,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
cta:C3,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
cta:C6,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
cta:C7,not_observed,heuristic_top100_signal,heuristic_positive,top100_heuristic_signal,inspiration_or_one_variable_test,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
nativeFormat:F1_text_only,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
nativeFormat:F2_static_image,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
nativeFormat:F3_multi_image,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
nativeFormat:F4_document,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
nativeFormat:F5_video,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
nativeFormat:F6_link_article,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
