engagement_id,record_id,metric_name,metric_value,denominator_name,denominator_value,normalized_value,collection_timestamp,provenance_ids,comparability_note
EN-000035,LI-7431712787799891968,public_interactions,40,creator_median_public_interactions,28,1.4285714285714286,2026-08-02T18:05:05.577Z,PV-00636,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000036,LI-7432046461451902977,public_interactions,39,creator_median_public_interactions,22,1.7727272727272727,2026-08-02T18:05:05.577Z,PV-00917,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000037,LI-7432048872325173248,public_interactions,1604,creator_median_public_interactions,451.5,3.5526024363233666,2026-08-02T18:05:05.577Z,PV-00797,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000038,LI-7432440065601052673,public_interactions,28,creator_median_public_interactions,28,1,2026-08-02T18:05:05.577Z,PV-00637,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000039,LI-7432443510550786048,impressions,590,,,,2026-08-02T17:53:51.662Z,PV-00958,Raw observation; no valid denominator available.
EN-000040,LI-7432443510550786048,reactions,9,impressions,590,0.015254237288135594,2026-08-02T17:53:51.662Z,PV-00958,Within-post rate; compare only at similar maturity and audience conditions.
EN-000041,LI-7432443510550786048,comments,0,impressions,590,0,2026-08-02T17:53:51.662Z,PV-00958,Within-post rate; compare only at similar maturity and audience conditions.
EN-000042,LI-7432443510550786048,reposts,0,impressions,590,0,2026-08-02T17:53:51.662Z,PV-00958,Within-post rate; compare only at similar maturity and audience conditions.
EN-000043,LI-7432443510550786048,saves,1,impressions,590,0.001694915254237288,2026-08-02T17:53:51.662Z,PV-00958,Within-post rate; compare only at similar maturity and audience conditions.
EN-000044,LI-7432443510550786048,sends,0,impressions,590,0,2026-08-02T17:53:51.662Z,PV-00958,Within-post rate; compare only at similar maturity and audience conditions.
EN-000045,LI-7432443510550786048,profile_viewers_from_post,2,impressions,590,0.003389830508474576,2026-08-02T17:53:51.662Z,PV-00958,Within-post rate; compare only at similar maturity and audience conditions.
EN-000046,LI-7432443510550786048,followers_gained,1,impressions,590,0.001694915254237288,2026-08-02T17:53:51.662Z,PV-00958,Within-post rate; compare only at similar maturity and audience conditions.
EN-000047,LI-7432443510550786048,public_interactions,9,creator_median_public_interactions,,,2026-08-02T17:53:51.662Z,PV-00958,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000048,LI-7432837400743161856,public_interactions,8,creator_median_public_interactions,22,0.36363636363636365,2026-08-02T18:05:05.577Z,PV-00918,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000049,LI-7432859819360796672,public_interactions,623,creator_median_public_interactions,451.5,1.37984496124031,2026-08-02T18:05:05.577Z,PV-00798,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000050,LI-7433021723471601664,public_interactions,774,creator_median_public_interactions,435.5,1.7772675086107923,2026-08-02T18:05:05.577Z,PV-00532,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000051,LI-7433165079338164224,impressions,986,,,,2026-08-02T17:53:59.261Z,PV-00959,Raw observation; no valid denominator available.
EN-000052,LI-7433165079338164224,reactions,10,impressions,986,0.010141987829614604,2026-08-02T17:53:59.261Z,PV-00959,Within-post rate; compare only at similar maturity and audience conditions.
EN-000053,LI-7433165079338164224,comments,0,impressions,986,0,2026-08-02T17:53:59.261Z,PV-00959,Within-post rate; compare only at similar maturity and audience conditions.
EN-000054,LI-7433165079338164224,reposts,0,impressions,986,0,2026-08-02T17:53:59.261Z,PV-00959,Within-post rate; compare only at similar maturity and audience conditions.
EN-000055,LI-7433165079338164224,saves,0,impressions,986,0,2026-08-02T17:53:59.261Z,PV-00959,Within-post rate; compare only at similar maturity and audience conditions.
EN-000056,LI-7433165079338164224,sends,0,impressions,986,0,2026-08-02T17:53:59.261Z,PV-00959,Within-post rate; compare only at similar maturity and audience conditions.
EN-000057,LI-7433165079338164224,profile_viewers_from_post,4,impressions,986,0.004056795131845842,2026-08-02T17:53:59.261Z,PV-00959,Within-post rate; compare only at similar maturity and audience conditions.
EN-000058,LI-7433165079338164224,followers_gained,1,impressions,986,0.0010141987829614604,2026-08-02T17:53:59.261Z,PV-00959,Within-post rate; compare only at similar maturity and audience conditions.
EN-000059,LI-7433165079338164224,public_interactions,10,creator_median_public_interactions,,,2026-08-02T17:53:59.261Z,PV-00959,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000060,LI-7433889772617613312,impressions,622,,,,2026-08-02T17:54:00.150Z,PV-00960,Raw observation; no valid denominator available.
EN-000061,LI-7433889772617613312,reactions,11,impressions,622,0.017684887459807074,2026-08-02T17:54:00.150Z,PV-00960,Within-post rate; compare only at similar maturity and audience conditions.
EN-000062,LI-7433889772617613312,comments,3,impressions,622,0.00482315112540193,2026-08-02T17:54:00.150Z,PV-00960,Within-post rate; compare only at similar maturity and audience conditions.
EN-000063,LI-7433889772617613312,reposts,1,impressions,622,0.001607717041800643,2026-08-02T17:54:00.150Z,PV-00960,Within-post rate; compare only at similar maturity and audience conditions.
EN-000064,LI-7433889772617613312,saves,1,impressions,622,0.001607717041800643,2026-08-02T17:54:00.150Z,PV-00960,Within-post rate; compare only at similar maturity and audience conditions.
EN-000065,LI-7433889772617613312,sends,0,impressions,622,0,2026-08-02T17:54:00.150Z,PV-00960,Within-post rate; compare only at similar maturity and audience conditions.
EN-000066,LI-7433889772617613312,profile_viewers_from_post,3,impressions,622,0.00482315112540193,2026-08-02T17:54:00.150Z,PV-00960,Within-post rate; compare only at similar maturity and audience conditions.
EN-000067,LI-7433889772617613312,followers_gained,2,impressions,622,0.003215434083601286,2026-08-02T17:54:00.150Z,PV-00960,Within-post rate; compare only at similar maturity and audience conditions.
EN-000068,LI-7433889772617613312,public_interactions,15,creator_median_public_interactions,,,2026-08-02T17:54:00.150Z,PV-00960,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000069,LI-7434249367353466880,public_interactions,19,creator_median_public_interactions,28,0.6785714285714286,2026-08-02T18:05:05.577Z,PV-00638,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000070,LI-7434332531879014401,impressions,733,,,,2026-08-02T17:54:00.893Z,PV-00961,Raw observation; no valid denominator available.
EN-000071,LI-7434332531879014401,reactions,12,impressions,733,0.01637107776261937,2026-08-02T17:54:00.893Z,PV-00961,Within-post rate; compare only at similar maturity and audience conditions.
EN-000072,LI-7434332531879014401,comments,5,impressions,733,0.0068212824010914054,2026-08-02T17:54:00.893Z,PV-00961,Within-post rate; compare only at similar maturity and audience conditions.
EN-000073,LI-7434332531879014401,reposts,0,impressions,733,0,2026-08-02T17:54:00.893Z,PV-00961,Within-post rate; compare only at similar maturity and audience conditions.
EN-000074,LI-7434332531879014401,saves,0,impressions,733,0,2026-08-02T17:54:00.893Z,PV-00961,Within-post rate; compare only at similar maturity and audience conditions.
EN-000075,LI-7434332531879014401,sends,0,impressions,733,0,2026-08-02T17:54:00.893Z,PV-00961,Within-post rate; compare only at similar maturity and audience conditions.
EN-000076,LI-7434332531879014401,profile_viewers_from_post,8,impressions,733,0.010914051841746248,2026-08-02T17:54:00.893Z,PV-00961,Within-post rate; compare only at similar maturity and audience conditions.
EN-000077,LI-7434332531879014401,followers_gained,0,impressions,733,0,2026-08-02T17:54:00.893Z,PV-00961,Within-post rate; compare only at similar maturity and audience conditions.
EN-000078,LI-7434332531879014401,public_interactions,17,creator_median_public_interactions,,,2026-08-02T17:54:00.893Z,PV-00961,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000079,LI-7434522438761197568,public_interactions,6,creator_median_public_interactions,17,0.35294117647058826,2026-08-02T18:05:05.577Z,PV-00734,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000080,LI-7434675583370047488,public_interactions,17,creator_median_public_interactions,56,0.30357142857142855,2026-08-02T18:05:05.577Z,PV-00774,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000081,LI-7434862773030948864,impressions,427,,,,2026-08-02T17:54:01.637Z,PV-00962,Raw observation; no valid denominator available.
EN-000082,LI-7434862773030948864,reactions,6,impressions,427,0.01405152224824356,2026-08-02T17:54:01.637Z,PV-00962,Within-post rate; compare only at similar maturity and audience conditions.
EN-000083,LI-7434862773030948864,comments,2,impressions,427,0.00468384074941452,2026-08-02T17:54:01.637Z,PV-00962,Within-post rate; compare only at similar maturity and audience conditions.
EN-000084,LI-7434862773030948864,reposts,0,impressions,427,0,2026-08-02T17:54:01.637Z,PV-00962,Within-post rate; compare only at similar maturity and audience conditions.
EN-000085,LI-7434862773030948864,saves,1,impressions,427,0.00234192037470726,2026-08-02T17:54:01.637Z,PV-00962,Within-post rate; compare only at similar maturity and audience conditions.
EN-000086,LI-7434862773030948864,sends,0,impressions,427,0,2026-08-02T17:54:01.637Z,PV-00962,Within-post rate; compare only at similar maturity and audience conditions.
EN-000087,LI-7434862773030948864,profile_viewers_from_post,0,impressions,427,0,2026-08-02T17:54:01.637Z,PV-00962,Within-post rate; compare only at similar maturity and audience conditions.
EN-000088,LI-7434862773030948864,followers_gained,0,impressions,427,0,2026-08-02T17:54:01.637Z,PV-00962,Within-post rate; compare only at similar maturity and audience conditions.
EN-000089,LI-7434862773030948864,public_interactions,8,creator_median_public_interactions,,,2026-08-02T17:54:01.637Z,PV-00962,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000090,LI-7434991766153465856,public_interactions,30,creator_median_public_interactions,56,0.5357142857142857,2026-08-02T18:05:05.577Z,PV-00775,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000091,LI-7435354064894267393,public_interactions,311,creator_median_public_interactions,56,5.553571428571429,2026-08-02T18:05:05.577Z,PV-00776,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000092,LI-7435612736656412672,public_interactions,229,creator_median_public_interactions,451.5,0.5071982281284607,2026-08-02T18:05:05.577Z,PV-00799,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000093,LI-7435715067708411904,impressions,557,,,,2026-08-02T17:54:02.635Z,PV-00963,Raw observation; no valid denominator available.
EN-000094,LI-7435715067708411904,reactions,3,impressions,557,0.005385996409335727,2026-08-02T17:54:02.635Z,PV-00963,Within-post rate; compare only at similar maturity and audience conditions.
EN-000095,LI-7435715067708411904,comments,0,impressions,557,0,2026-08-02T17:54:02.635Z,PV-00963,Within-post rate; compare only at similar maturity and audience conditions.
EN-000096,LI-7435715067708411904,reposts,0,impressions,557,0,2026-08-02T17:54:02.635Z,PV-00963,Within-post rate; compare only at similar maturity and audience conditions.
EN-000097,LI-7435715067708411904,saves,0,impressions,557,0,2026-08-02T17:54:02.635Z,PV-00963,Within-post rate; compare only at similar maturity and audience conditions.
EN-000098,LI-7435715067708411904,sends,0,impressions,557,0,2026-08-02T17:54:02.635Z,PV-00963,Within-post rate; compare only at similar maturity and audience conditions.
EN-000099,LI-7435715067708411904,profile_viewers_from_post,2,impressions,557,0.003590664272890485,2026-08-02T17:54:02.635Z,PV-00963,Within-post rate; compare only at similar maturity and audience conditions.
EN-000100,LI-7435715067708411904,followers_gained,0,impressions,557,0,2026-08-02T17:54:02.635Z,PV-00963,Within-post rate; compare only at similar maturity and audience conditions.
EN-000101,LI-7435715067708411904,public_interactions,3,creator_median_public_interactions,,,2026-08-02T17:54:02.635Z,PV-00963,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000102,LI-7436765573411319810,public_interactions,37,creator_median_public_interactions,28,1.3214285714285714,2026-08-02T18:05:05.577Z,PV-00639,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000103,LI-7436809798576410624,impressions,7124,,,,2026-08-02T17:54:03.456Z,PV-00964,Raw observation; no valid denominator available.
EN-000104,LI-7436809798576410624,reactions,46,impressions,7124,0.006457046603032005,2026-08-02T17:54:03.456Z,PV-00964,Within-post rate; compare only at similar maturity and audience conditions.
EN-000105,LI-7436809798576410624,comments,0,impressions,7124,0,2026-08-02T17:54:03.456Z,PV-00964,Within-post rate; compare only at similar maturity and audience conditions.
EN-000106,LI-7436809798576410624,reposts,1,impressions,7124,0.00014037057832678272,2026-08-02T17:54:03.456Z,PV-00964,Within-post rate; compare only at similar maturity and audience conditions.
EN-000107,LI-7436809798576410624,saves,9,impressions,7124,0.0012633352049410444,2026-08-02T17:54:03.456Z,PV-00964,Within-post rate; compare only at similar maturity and audience conditions.
EN-000108,LI-7436809798576410624,sends,5,impressions,7124,0.0007018528916339135,2026-08-02T17:54:03.456Z,PV-00964,Within-post rate; compare only at similar maturity and audience conditions.
EN-000109,LI-7436809798576410624,profile_viewers_from_post,23,impressions,7124,0.0032285233015160023,2026-08-02T17:54:03.456Z,PV-00964,Within-post rate; compare only at similar maturity and audience conditions.
EN-000110,LI-7436809798576410624,followers_gained,5,impressions,7124,0.0007018528916339135,2026-08-02T17:54:03.456Z,PV-00964,Within-post rate; compare only at similar maturity and audience conditions.
EN-000111,LI-7436809798576410624,public_interactions,47,creator_median_public_interactions,,,2026-08-02T17:54:03.456Z,PV-00964,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000112,LI-7437105309875183616,public_interactions,539,creator_median_public_interactions,224,2.40625,2026-08-02T18:05:05.577Z,PV-00500,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000113,LI-7437133402375475200,public_interactions,64,creator_median_public_interactions,56,1.1428571428571428,2026-08-02T18:05:05.577Z,PV-00777,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000114,LI-7437493023372017664,public_interactions,84,creator_median_public_interactions,17,4.9411764705882355,2026-08-02T18:05:05.577Z,PV-00735,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000115,LI-7437509585701269505,public_interactions,13,creator_median_public_interactions,56,0.23214285714285715,2026-08-02T18:05:05.577Z,PV-00778,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000116,LI-7437542694534660096,impressions,671,,,,2026-08-02T17:54:04.228Z,PV-00965,Raw observation; no valid denominator available.
EN-000117,LI-7437542694534660096,reactions,12,impressions,671,0.01788375558867362,2026-08-02T17:54:04.228Z,PV-00965,Within-post rate; compare only at similar maturity and audience conditions.
EN-000118,LI-7437542694534660096,comments,0,impressions,671,0,2026-08-02T17:54:04.228Z,PV-00965,Within-post rate; compare only at similar maturity and audience conditions.
EN-000119,LI-7437542694534660096,reposts,0,impressions,671,0,2026-08-02T17:54:04.228Z,PV-00965,Within-post rate; compare only at similar maturity and audience conditions.
EN-000120,LI-7437542694534660096,saves,1,impressions,671,0.0014903129657228018,2026-08-02T17:54:04.228Z,PV-00965,Within-post rate; compare only at similar maturity and audience conditions.
EN-000121,LI-7437542694534660096,sends,0,impressions,671,0,2026-08-02T17:54:04.228Z,PV-00965,Within-post rate; compare only at similar maturity and audience conditions.
EN-000122,LI-7437542694534660096,profile_viewers_from_post,0,impressions,671,0,2026-08-02T17:54:04.228Z,PV-00965,Within-post rate; compare only at similar maturity and audience conditions.
EN-000123,LI-7437542694534660096,followers_gained,8,impressions,671,0.011922503725782414,2026-08-02T17:54:04.228Z,PV-00965,Within-post rate; compare only at similar maturity and audience conditions.
EN-000124,LI-7437542694534660096,public_interactions,12,creator_median_public_interactions,,,2026-08-02T17:54:04.228Z,PV-00965,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000125,LI-7437801389084549120,public_interactions,540,creator_median_public_interactions,451.5,1.196013289036545,2026-08-02T18:05:05.577Z,PV-00800,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000126,LI-7437880680815980545,public_interactions,113,creator_median_public_interactions,56,2.017857142857143,2026-08-02T18:05:05.577Z,PV-00779,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000127,LI-7438223426168782848,impressions,1375,,,,2026-08-02T17:54:05.161Z,PV-00966,Raw observation; no valid denominator available.
EN-000128,LI-7438223426168782848,reactions,9,impressions,1375,0.006545454545454545,2026-08-02T17:54:05.161Z,PV-00966,Within-post rate; compare only at similar maturity and audience conditions.
EN-000129,LI-7438223426168782848,comments,0,impressions,1375,0,2026-08-02T17:54:05.161Z,PV-00966,Within-post rate; compare only at similar maturity and audience conditions.
EN-000130,LI-7438223426168782848,reposts,2,impressions,1375,0.0014545454545454545,2026-08-02T17:54:05.161Z,PV-00966,Within-post rate; compare only at similar maturity and audience conditions.
EN-000131,LI-7438223426168782848,saves,1,impressions,1375,0.0007272727272727272,2026-08-02T17:54:05.161Z,PV-00966,Within-post rate; compare only at similar maturity and audience conditions.
EN-000132,LI-7438223426168782848,sends,0,impressions,1375,0,2026-08-02T17:54:05.161Z,PV-00966,Within-post rate; compare only at similar maturity and audience conditions.
EN-000133,LI-7438223426168782848,profile_viewers_from_post,2,impressions,1375,0.0014545454545454545,2026-08-02T17:54:05.161Z,PV-00966,Within-post rate; compare only at similar maturity and audience conditions.
EN-000134,LI-7438223426168782848,followers_gained,2,impressions,1375,0.0014545454545454545,2026-08-02T17:54:05.161Z,PV-00966,Within-post rate; compare only at similar maturity and audience conditions.
EN-000135,LI-7438223426168782848,public_interactions,11,creator_median_public_interactions,,,2026-08-02T17:54:05.161Z,PV-00966,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000136,LI-7439252875337400320,public_interactions,502,creator_median_public_interactions,183.5,2.7356948228882834,2026-08-02T18:05:05.577Z,PV-00837,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000137,LI-7439330173113536513,public_interactions,19,creator_median_public_interactions,28,0.6785714285714286,2026-08-02T18:05:05.577Z,PV-00640,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000138,LI-7439340292522119169,impressions,4461,,,,2026-08-02T17:54:06.145Z,PV-00967,Raw observation; no valid denominator available.
EN-000139,LI-7439340292522119169,reactions,4,impressions,4461,0.0008966599417171038,2026-08-02T17:54:06.145Z,PV-00967,Within-post rate; compare only at similar maturity and audience conditions.
EN-000140,LI-7439340292522119169,comments,2,impressions,4461,0.0004483299708585519,2026-08-02T17:54:06.145Z,PV-00967,Within-post rate; compare only at similar maturity and audience conditions.
EN-000141,LI-7439340292522119169,reposts,0,impressions,4461,0,2026-08-02T17:54:06.145Z,PV-00967,Within-post rate; compare only at similar maturity and audience conditions.
EN-000142,LI-7439340292522119169,saves,1,impressions,4461,0.00022416498542927594,2026-08-02T17:54:06.145Z,PV-00967,Within-post rate; compare only at similar maturity and audience conditions.
EN-000143,LI-7439340292522119169,sends,0,impressions,4461,0,2026-08-02T17:54:06.145Z,PV-00967,Within-post rate; compare only at similar maturity and audience conditions.
EN-000144,LI-7439340292522119169,profile_viewers_from_post,7,impressions,4461,0.0015691548980049316,2026-08-02T17:54:06.145Z,PV-00967,Within-post rate; compare only at similar maturity and audience conditions.
EN-000145,LI-7439340292522119169,followers_gained,0,impressions,4461,0,2026-08-02T17:54:06.145Z,PV-00967,Within-post rate; compare only at similar maturity and audience conditions.
EN-000146,LI-7439340292522119169,public_interactions,6,creator_median_public_interactions,,,2026-08-02T17:54:06.145Z,PV-00967,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000147,LI-7439431039493656576,public_interactions,38,creator_median_public_interactions,183.5,0.20708446866485014,2026-08-02T18:05:05.577Z,PV-00838,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000148,LI-7440063470382931968,impressions,995,,,,2026-08-02T17:54:06.989Z,PV-00968,Raw observation; no valid denominator available.
EN-000149,LI-7440063470382931968,reactions,21,impressions,995,0.021105527638190954,2026-08-02T17:54:06.989Z,PV-00968,Within-post rate; compare only at similar maturity and audience conditions.
EN-000150,LI-7440063470382931968,comments,0,impressions,995,0,2026-08-02T17:54:06.989Z,PV-00968,Within-post rate; compare only at similar maturity and audience conditions.
EN-000151,LI-7440063470382931968,reposts,1,impressions,995,0.0010050251256281408,2026-08-02T17:54:06.989Z,PV-00968,Within-post rate; compare only at similar maturity and audience conditions.
EN-000152,LI-7440063470382931968,saves,0,impressions,995,0,2026-08-02T17:54:06.989Z,PV-00968,Within-post rate; compare only at similar maturity and audience conditions.
EN-000153,LI-7440063470382931968,sends,0,impressions,995,0,2026-08-02T17:54:06.989Z,PV-00968,Within-post rate; compare only at similar maturity and audience conditions.
EN-000154,LI-7440063470382931968,profile_viewers_from_post,2,impressions,995,0.0020100502512562816,2026-08-02T17:54:06.989Z,PV-00968,Within-post rate; compare only at similar maturity and audience conditions.
EN-000155,LI-7440063470382931968,followers_gained,0,impressions,995,0,2026-08-02T17:54:06.989Z,PV-00968,Within-post rate; compare only at similar maturity and audience conditions.
EN-000156,LI-7440063470382931968,public_interactions,22,creator_median_public_interactions,,,2026-08-02T17:54:06.989Z,PV-00968,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000157,LI-7440387646021058560,public_interactions,228,creator_median_public_interactions,451.5,0.5049833887043189,2026-08-02T18:05:05.577Z,PV-00801,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000158,LI-7440469486719266817,public_interactions,406,creator_median_public_interactions,,,2026-08-02T18:05:05.577Z,PV-00539,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
