referenceId,resolutionStatus,confidence,postingAuthor,authorProfileUrl,exactPostUrl,canonicalPostId,corpusStatus,recoveryNote
25,resolved,medium,Amit Kumar Rai,https://www.linkedin.com/in/amit-kumar-rai-a945842b,https://www.linkedin.com/posts/amit-kumar-rai-a945842b_here-is-a-highly-concise-executive-summary-activity-7464969341328019456-eHeb,LI-7464969341328019456,recovered,Canonical post and public outcomes are present in the normalized corpus.
26,resolved,high,Marek Dabrowski,https://www.linkedin.com/in/marek-dabrowski-8a502370,https://www.linkedin.com/posts/marek-dabrowski-8a502370_leanmanufacturing-continuousimprovement-activity-7464950856669458432-21wj,LI-7464950856669458432,recovered,Canonical post and public outcomes are present in the normalized corpus.
27,resolved,high,Magali De Reu,https://www.linkedin.com/in/magalidereu,https://www.linkedin.com/posts/magalidereu_last-august-i-was-broke-af-posting-on-a-activity-7465337376018481152-L_Hr,LI-7465337376018481152,recovered,Canonical post and public outcomes are present in the normalized corpus.
28,resolved,high,Yonathan Levy,https://www.linkedin.com/in/yonathan-levy,https://www.linkedin.com/posts/yonathan-levy_linkedin-rewards-the-people-who-understand-activity-7437105309875183616-v30x,LI-7437105309875183616,recovered,Canonical post and public outcomes are present in the normalized corpus.
29,resolved,high,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,https://www.linkedin.com/feed/update/urn:li:activity:7464933759554015232,LI-7464933759554015232,recovered,Canonical post and public outcomes are present in the normalized corpus.
30,resolved,high,Stanley,https://www.linkedin.com/company/stanley-from-stan,https://www.linkedin.com/posts/stanley-from-stan_ive-helped-write-84000-linkedin-posts-activity-7464684274374529025-F-Zl,LI-7464684274374529025,exact_url_not_recovered,Exact URL is known but the post Actor did not return the row; final retry was blocked by the account monthly usage hard limit.
31,resolved,high,Eric Partaker,https://www.linkedin.com/in/ericpartaker,https://www.linkedin.com/posts/activity-7464646524967411712-lZuq,LI-7464646524967411712,exact_url_not_recovered,Exact URL is known but the post Actor did not return the row; final retry was blocked by the account monthly usage hard limit.
32,unresolved,unresolved,,,,,exact_url_unresolved,No exact permalink was available without guessing.
33,resolved,high,Marcia D Williams,https://www.linkedin.com/in/marciadwilliams,https://www.linkedin.com/posts/marciadwilliams_not-every-sop-is-equal-this-infographic-activity-7463202442491650048--i8y,LI-7463202442491650048,recovered,Canonical post and public outcomes are present in the normalized corpus.
34,resolved,high,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,https://www.linkedin.com/feed/update/urn:li:activity:7462756369956229120,LI-7462756369956229120,recovered,Canonical post and public outcomes are present in the normalized corpus.
35,resolved,high,Tom Mills,https://www.linkedin.com/in/tom-mills-procurement,https://www.linkedin.com/posts/tom-mills-procurement_a-procurement-manager-is-not-what-most-people-activity-7425121098503176192-8_Cs,LI-7425121098503176192,exact_url_not_recovered,Exact URL is known but the post Actor did not return the row; final retry was blocked by the account monthly usage hard limit.
36,resolved,high,Yonathan Levy,https://www.linkedin.com/in/yonathan-levy,https://www.linkedin.com/posts/yonathan-levy_linkedin-replaced-its-algorithm-with-a-single-activity-7462819434639056896-NSmK,LI-7462819434639056896,recovered,Canonical post and public outcomes are present in the normalized corpus.
37,unresolved,unresolved,,,,,exact_url_unresolved,No exact permalink was available without guessing.
38,resolved,high,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,https://www.linkedin.com/posts/supplychainaipro_%F0%9D%90%87%F0%9D%90%A8%F0%9D%90%AD-%F0%9D%90%AD%F0%9D%90%9A%F0%9D%90%A4%F0%9D%90%9E-%F0%9D%90%8C%F0%9D%90%A8%F0%9D%90%AC%F0%9D%90%AD-%F0%9D%90%A9%F0%9D%90%AB%F0%9D%90%A8%F0%9D%90%9C%F0%9D%90%AE%F0%9D%90%AB%F0%9D%90%9E%F0%9D%90%A6%F0%9D%90%9E%F0%9D%90%A7%F0%9D%90%AD-activity-7462400649981476864-oy_K,LI-7462400649981476864,recovered,Canonical post and public outcomes are present in the normalized corpus.
39,resolved,high,Hashim H.,https://www.linkedin.com/in/hashimhamdanek,https://www.linkedin.com/posts/hashimhamdanek_sop-salesandoperationsplanning-demandplanning-activity-7461899653442060288-jPql,LI-7461899653442060288,recovered,Canonical post and public outcomes are present in the normalized corpus.
40,resolved,high,Aleksandar Radosevic,https://www.linkedin.com/in/aleksandar-radosevic-b2b-saas-copywriting,https://www.linkedin.com/posts/aleksandar-radosevic-b2b-saas-copywriting_linkedin-content-creation-tools-are-getting-activity-7462504793379545088-JnMT,LI-7462504793379545088,recovered,Canonical post and public outcomes are present in the normalized corpus.
41,resolved,high,Yonathan Levy,https://www.linkedin.com/in/yonathan-levy,https://www.linkedin.com/posts/yonathan-levy_finding-content-ideas-doesnt-have-to-feel-activity-7426958209128591360-0j4s,LI-7426958209128591360,exact_url_not_recovered,Exact URL is known but the post Actor did not return the row; final retry was blocked by the account monthly usage hard limit.
42,resolved,high,Josh Sanders,https://www.linkedin.com/in/joshejsanders,https://www.linkedin.com/posts/joshejsanders_everyone-tells-you-to-just-post-but-nobody-activity-7462103543844388864-RNc9,LI-7462103543844388864,recovered,Canonical post and public outcomes are present in the normalized corpus.
43,resolved,high,Richard van der Blom,https://www.linkedin.com/in/richardvanderblom,https://www.linkedin.com/posts/richardvanderblom_the-algorithm-insights-report-2026-is-built-activity-7462022923265134592-_rGV,LI-7462022923265134592,recovered,Canonical post and public outcomes are present in the normalized corpus.
44,resolved,high,Carol Ptak,https://www.linkedin.com/in/demanddrivencarol,https://www.linkedin.com/posts/demanddrivencarol_a-ceo-told-me-last-month-that-his-supply-activity-7458568915321982976-xuiZ,LI-7458568915321982976,recovered,Canonical post and public outcomes are present in the normalized corpus.
45,resolved,high,Mischa Collins,https://www.linkedin.com/in/mischa-collins,https://www.linkedin.com/posts/mischa-collins_if-i-had-to-start-my-linkedin-again-this-activity-7462094771885449216-D6zg,LI-7462094771885449216,recovered,Canonical post and public outcomes are present in the normalized corpus.
46,resolved,high,Mayank Pandey,https://www.linkedin.com/in/mayank-pandey-56359295,https://www.linkedin.com/posts/mayank-pandey-56359295_supplychain-demandplanning-supplyplanning-activity-7460562088730562560-8FoF,LI-7460562088730562560,recovered,Canonical post and public outcomes are present in the normalized corpus.
47,resolved,high,Korina Mercado,https://www.linkedin.com/in/mercadokorina,https://www.linkedin.com/posts/mercadokorina_industrialengineers-industrialengineering-activity-7459787333303943168-2BrI,LI-7459787333303943168,recovered,Canonical post and public outcomes are present in the normalized corpus.
48,resolved,high,Yonathan Levy,https://www.linkedin.com/in/yonathan-levy,https://www.linkedin.com/posts/yonathan-levy_the-best-way-to-sell-on-linkedin-is-to-stop-activity-7461007326070800384-fktl,LI-7461007326070800384,recovered,Canonical post and public outcomes are present in the normalized corpus.
49,resolved,high,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,https://www.linkedin.com/posts/supplychainaipro_6-steps-1-goal-%F0%9D%90%81%F0%9D%90%9E%F0%9D%90%AD%F0%9D%90%AD%F0%9D%90%9E%F0%9D%90%AB-%F0%9D%90%8E%F0%9D%90%AE%F0%9D%90%AD%F0%9D%90%9C%F0%9D%90%A8%F0%9D%90%A6%F0%9D%90%9E%F0%9D%90%AC-activity-7460581602880864258-e787,LI-7460581602880864258,recovered,Canonical post and public outcomes are present in the normalized corpus.
50,resolved,high,MJ Jaindl,https://www.linkedin.com/in/jaindl,https://www.linkedin.com/posts/jaindl_everyone-overcomplicates-linkedin-growth-activity-7460295282996649984-wKSn,LI-7460295282996649984,recovered,Canonical post and public outcomes are present in the normalized corpus.
51,resolved,high,Adam Smiarowski,https://www.linkedin.com/in/adam-smiarowski,https://www.linkedin.com/posts/adam-smiarowski_i-talk-to-supply-chain-directors-regularly-activity-7459540348030287872-1N9b,LI-7459540348030287872,recovered,Canonical post and public outcomes are present in the normalized corpus.
52,resolved,high,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,https://www.linkedin.com/posts/supplychainaipro_%F0%9D%90%87%F0%9D%90%A8%F0%9D%90%B0-%F0%9D%90%AD%F0%9D%90%A8-%F0%9D%90%8C%F0%9D%90%9A%F0%9D%90%AC%F0%9D%90%AD%F0%9D%90%9E%F0%9D%90%AB-%F0%9D%90%8F%F0%9D%90%AB%F0%9D%90%A8%F0%9D%90%9C%F0%9D%90%AE%F0%9D%90%AB%F0%9D%90%9E%F0%9D%90%A6-activity-7460219130940489729-40oI,LI-7460219130940489729,recovered,Canonical post and public outcomes are present in the normalized corpus.
53,resolved,high,Yonathan Levy,https://www.linkedin.com/in/yonathan-levy,https://www.linkedin.com/posts/yonathan-levy_i-built-a-claude-skill-that-creates-linkedin-activity-7459920357614071808-NDIB,LI-7459920357614071808,exact_url_not_recovered,Exact URL is known but the post Actor did not return the row; final retry was blocked by the account monthly usage hard limit.
54,resolved,high,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,https://www.linkedin.com/posts/supplychainaipro_%F0%9D%90%96%F0%9D%90%A1%F0%9D%90%B2-%F0%9D%90%9A%F0%9D%90%A6-%F0%9D%90%88-%F0%9D%90%A7%F0%9D%90%A8%F0%9D%90%AD-%F0%9D%90%A0%F0%9D%90%9E%F0%9D%90%AD%F0%9D%90%AD%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%A0-%F0%9D%90%AD%F0%9D%90%A1%F0%9D%90%9E-activity-7459856232657620993-inro,LI-7459856232657620993,recovered,Canonical post and public outcomes are present in the normalized corpus.
55,resolved,high,Anisha Jain,https://www.linkedin.com/in/theanishajain,https://www.linkedin.com/posts/theanishajain_linkedin-has-1150000000-accounts-here-activity-7382709536224313344-OdFE,LI-7382709536224313344,exact_url_not_recovered,Exact URL is known but the post Actor did not return the row; final retry was blocked by the account monthly usage hard limit.
56,resolved,high,Tom Mills,https://www.linkedin.com/in/tom-mills-procurement,https://www.linkedin.com/posts/tom-mills-procurement_how-to-shift-procurement-to-strategic-free-activity-7459888401522028544-dKrm,LI-7459888401522028544,recovered,Canonical post and public outcomes are present in the normalized corpus.
57,resolved,high,MJ Jaindl,https://www.linkedin.com/in/jaindl,https://www.linkedin.com/posts/jaindl_ive-posted-784-times-on-linkedin-i-made-activity-7459932907940536321-tmR7,LI-7459932907940536321,recovered,Canonical post and public outcomes are present in the normalized corpus.
58,resolved,high,Tom Alder,https://www.linkedin.com/in/tom-alder,https://www.linkedin.com/posts/tom-alder_i-vibe-coded-a-tool-that-got-me-250k-impressions-activity-7459578395459227648-U54P,LI-7459578395459227648,exact_url_not_recovered,Exact URL is known but the post Actor did not return the row; final retry was blocked by the account monthly usage hard limit.
59,resolved,high,Nicolas Vandeput,https://www.linkedin.com/in/vandeputnicolas,https://www.linkedin.com/posts/vandeputnicolas_outgrowing-the-safety-stockformula-activity-7459573119217782785-u2uv,LI-7459573119217782785,recovered,Canonical post and public outcomes are present in the normalized corpus.
60,resolved,high,Nicolas Cole,https://www.linkedin.com/in/nicolascole,https://www.linkedin.com/posts/nicolascole_i-just-created-a-claude-skills-pack-to-help-activity-7455232999509430273-6Et5,LI-7455232999509430273,recovered,Canonical post and public outcomes are present in the normalized corpus.
61,resolved,high,Ruben Hassid,https://www.linkedin.com/in/ruben-hassid,https://www.linkedin.com/posts/ruben-hassid_instead-of-another-youtube-rabbit-hole-tonight-activity-7471426142412046336-sG4O,LI-7471426142412046336,recovered,Canonical post and public outcomes are present in the normalized corpus.
62,resolved,medium,Nicolas Cole,https://www.linkedin.com/in/nicolascole,,,exact_url_unresolved,No exact permalink was available without guessing.
63,resolved,high,Eric Partaker,https://www.linkedin.com/in/ericpartaker,https://www.linkedin.com/posts/ericpartaker_85-of-leaders-regretted-a-major-decision-activity-7471169532758355968-c7NH,LI-7471169532758355968,recovered,Canonical post and public outcomes are present in the normalized corpus.
64,resolved,high,Vipin K Rastogi,https://www.linkedin.com/in/vipin-k-rastogi-a751847a,https://www.linkedin.com/posts/vipin-k-rastogi-a751847a_supply-chain-roles-as-birds-different-activity-7456550155622871040-8CRt,LI-7456550155622871040,recovered,Canonical post and public outcomes are present in the normalized corpus.
65,resolved,high,Agnieszka Kamila Van der Veen,https://www.linkedin.com/in/agnieszka-kamila-van-der-veen-mba-8943266b,https://www.linkedin.com/posts/agnieszka-kamila-van-der-veen-mba-8943266b_the-most-underrated-lean-tool-the-spaghetti-activity-7457024996649885697-5ggt,LI-7457024996649885697,recovered,Canonical post and public outcomes are present in the normalized corpus.
66,resolved,high,Agnieszka Kamila Van der Veen,https://www.linkedin.com/in/agnieszka-kamila-van-der-veen-mba-8943266b,https://www.linkedin.com/posts/agnieszka-kamila-van-der-veen-mba-8943266b_we-talk-a-lot-about-improvement-continuous-activity-7456050233689653248-U3Vs,LI-7456050233689653248,exact_url_not_recovered,Exact URL is known but the post Actor did not return the row; final retry was blocked by the account monthly usage hard limit.
67,resolved,high,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,https://www.linkedin.com/posts/supplychainaipro_procurement-supplychain-generativeai-activity-7456963522044968960-sDNX,LI-7456963522044968960,recovered,Canonical post and public outcomes are present in the normalized corpus.
68,resolved,high,Diandra Escobar,https://www.linkedin.com/in/diandraescobar,https://www.linkedin.com/posts/diandraescobar_if-you-want-true-inbound-from-linkedin-every-activity-7444357555960823808-dzVx,LI-7444357555960823808,recovered,Canonical post and public outcomes are present in the normalized corpus.
69,resolved,high,Tom Mills,https://www.linkedin.com/in/tom-mills-procurement,https://www.linkedin.com/posts/tom-mills-procurement_strategic-sourcing-is-as-rare-as-a-diet-at-activity-7313455219453898752-oi5F,LI-7313455219453898752,exact_url_not_recovered,Exact URL is known but the post Actor did not return the row; final retry was blocked by the account monthly usage hard limit.
70,resolved,high,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,https://www.linkedin.com/posts/supplychainaipro_%F0%9D%97%96%F0%9D%97%B9%F0%9D%97%AE%F0%9D%98%82%F0%9D%97%B1%F0%9D%97%B2-%F0%9D%97%B5%F0%9D%97%AE%F0%9D%98%80-%F0%9D%9F%AE%F0%9D%9F%AE-%F0%9D%97%B3%F0%9D%97%B2%F0%9D%97%AE%F0%9D%98%81%F0%9D%98%82%F0%9D%97%BF%F0%9D%97%B2%F0%9D%98%80-activity-7453710646333972480-jUmz,LI-7453710646333972480,recovered,Canonical post and public outcomes are present in the normalized corpus.
71,resolved,high,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,,,exact_url_unresolved,No exact permalink was available without guessing.
72,resolved,high,Charlie Hills,https://www.linkedin.com/in/charlie-hills,https://www.linkedin.com/posts/charlie-hills_stanleypartner-activity-7453019851943587840-BkMA,LI-7453019851943587840,recovered,Canonical post and public outcomes are present in the normalized corpus.
73,resolved,high,Onesphore RAKOTOMALALA,https://www.linkedin.com/in/onesphore-rkt,https://www.linkedin.com/posts/onesphore-rkt_fifo-vs-fefo-vs-lifo-vs-nifo-fifo-is-not-activity-7423636363196981248-N1d9,LI-7423636363196981248,exact_url_not_recovered,Exact URL is known but the post Actor did not return the row; final retry was blocked by the account monthly usage hard limit.
74,resolved,high,Onesphore RAKOTOMALALA,https://www.linkedin.com/in/onesphore-rkt,https://www.linkedin.com/posts/onesphore-rkt_sap-extended-warehouse-management-ewm-activity-7424725973817831426-lnud,LI-7424725973817831426,exact_url_not_recovered,Exact URL is known but the post Actor did not return the row; final retry was blocked by the account monthly usage hard limit.
75,resolved,high,MJ Jaindl,https://www.linkedin.com/in/jaindl,https://www.linkedin.com/posts/jaindl_i-posted-for-6-months-on-linkedin-no-results-activity-7453047525629980672-W-Yr,LI-7453047525629980672,recovered,Canonical post and public outcomes are present in the normalized corpus.
76,resolved,high,Alper Ozel,https://www.linkedin.com/in/alper-ozel-723ab511,https://www.linkedin.com/posts/alper-ozel-723ab511_supply-chain-grid-assess-maturity-unlock-activity-7433021723471601664-quyq,LI-7433021723471601664,recovered,Canonical post and public outcomes are present in the normalized corpus.
77,resolved,high,Fouad Enba,https://www.linkedin.com/in/fouad317,https://www.linkedin.com/posts/fouad317_logistics-supplychain-operations-activity-7450581283635720193-A7Ve,LI-7450581283635720193,recovered,Canonical post and public outcomes are present in the normalized corpus.
78,resolved,high,Chris Donnelly,https://www.linkedin.com/in/donnellychris,https://www.linkedin.com/posts/donnellychris_breaking-anthropic-just-launched-claude-activity-7451961814654881793-crVI,LI-7451961814654881793,recovered,Canonical post and public outcomes are present in the normalized corpus.
79,resolved,high,AI For Leaders,https://www.linkedin.com/company/aiforleaders,https://www.linkedin.com/posts/aiforleaders_the-complete-claude-code-breakdown-%F0%9D%97%95%F0%9D%97%B2%F0%9D%97%B0%F0%9D%97%BC%F0%9D%97%BA%F0%9D%97%B2-activity-7450845523378540544-lY8X,LI-7450845523378540544,recovered,Canonical post and public outcomes are present in the normalized corpus.
80,resolved,high,Giovanni Beggiato,https://www.linkedin.com/in/giovanni-beggiato,https://www.linkedin.com/posts/giovanni-beggiato_if-claude-feels-wrong-youre-probably-the-activity-7455209344322768896--D7f,LI-7455209344322768896,recovered,Canonical post and public outcomes are present in the normalized corpus.
81,resolved,high,Onesphore RAKOTOMALALA,https://www.linkedin.com/in/onesphore-rkt,https://www.linkedin.com/posts/onesphore-rkt_sap-sd-t-codes-for-supply-chain-professionals-activity-7451270751556419584-letS,LI-7451270751556419584,recovered,Canonical post and public outcomes are present in the normalized corpus.
82,resolved,high,Jigar Patel,https://www.linkedin.com/in/jigar-patel-96b4286b,https://www.linkedin.com/posts/jigar-patel-96b4286b_supplychain-inventorymanagement-operations-activity-7449803669014945793-2fuV,LI-7449803669014945793,recovered,Canonical post and public outcomes are present in the normalized corpus.
83,resolved,high,Wouter van Heddeghem,https://www.linkedin.com/in/woutervanheddeghem,https://www.linkedin.com/posts/woutervanheddeghem_check-out-this-post-by-dinesh-r-%F0%9D%99%88%F0%9D%99%8F%F0%9D%99%8A-activity-7440469486719266817-Qjqh,LI-7440469486719266817,recovered,Canonical post and public outcomes are present in the normalized corpus.
84,resolved,high,Angus Craig FCIPS,https://www.linkedin.com/in/anguscraigfcips,https://www.linkedin.com/posts/anguscraigfcips_like-many-people-ive-been-trying-to-get-activity-7450877132563558400-2vPe,LI-7450877132563558400,recovered,Canonical post and public outcomes are present in the normalized corpus.
85,resolved,high,Edouard Thieuleux,https://www.linkedin.com/in/edouardthieuleux,https://www.linkedin.com/posts/edouardthieuleux_this-is-what-your-supply-chain-org-chart-activity-7450452978395840512-XsFD,LI-7450452978395840512,recovered,Canonical post and public outcomes are present in the normalized corpus.
86,resolved,high,Tom Mills,https://www.linkedin.com/in/tom-mills-procurement,https://www.linkedin.com/posts/tom-mills-procurement_most-procurement-teams-want-to-innovate-activity-7458802962056937474-aJP6,LI-7458802962056937474,recovered,Canonical post and public outcomes are present in the normalized corpus.
87,resolved,high,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,,,exact_url_unresolved,No exact permalink was available without guessing.
88,resolved,high,Lara Acosta,https://www.linkedin.com/in/laraacostar,https://www.linkedin.com/posts/laraacostar_you-dont-need-algorithm-hacks-to-grow-on-activity-7449418737713238016-8dep,LI-7449418737713238016,exact_url_not_recovered,Exact URL is known but the post Actor did not return the row; final retry was blocked by the account monthly usage hard limit.
89,resolved,high,Ronalin L,https://www.linkedin.com/in/ronalinlagsa,https://www.linkedin.com/posts/ronalinlagsa_demand-planning-next-level-most-people-activity-7449046219600982016-I3fm,LI-7449046219600982016,recovered,Canonical post and public outcomes are present in the normalized corpus.
90,resolved,high,Joel Collin-Demers,https://www.linkedin.com/in/joelcollindemers,https://www.linkedin.com/posts/joelcollindemers_most-procurement-teams-waste-30-of-their-activity-7381679058448990208-umN2,LI-7381679058448990208,exact_url_not_recovered,Exact URL is known but the post Actor did not return the row; final retry was blocked by the account monthly usage hard limit.
91,resolved,high,Ruben Hassid,https://www.linkedin.com/in/ruben-hassid,https://www.linkedin.com/posts/ruben-hassid_how-to-climb-all-4-layers-of-claude-in-one-activity-7447961600159977472-2Qco,LI-7447961600159977472,recovered,Canonical post and public outcomes are present in the normalized corpus.
92,resolved,high,Harry McKaig,https://www.linkedin.com/in/harrymckaig,https://www.linkedin.com/posts/harrymckaig_12-companies-3000-brands-over-250-billion-activity-7447282183183962113-gjfG,LI-7447282183183962113,recovered,Canonical post and public outcomes are present in the normalized corpus.
93,resolved,high,Nicolas Cole,https://www.linkedin.com/in/nicolascole,https://www.linkedin.com/posts/nicolascole_i-just-packaged-102-of-my-best-content-templates-activity-7447623181395484672-lcbr,LI-7447623181395484672,recovered,Canonical post and public outcomes are present in the normalized corpus.
94,resolved,high,Marcia D Williams,https://www.linkedin.com/in/marciadwilliams,https://www.linkedin.com/posts/marciadwilliams_supply-chain-and-procurement-speak-their-activity-7446894707063902208-PDbB,LI-7446894707063902208,recovered,Canonical post and public outcomes are present in the normalized corpus.
95,resolved,high,Ben Willis,https://www.linkedin.com/in/benjamintwillis,https://www.linkedin.com/posts/benjamintwillis_supplychain-ai-activity-7447320076212412416-zFS7,LI-7447320076212412416,recovered,Canonical post and public outcomes are present in the normalized corpus.
96,resolved,high,Dinesh Krishna,https://www.linkedin.com/in/dinesh-krishna-4a568782,https://www.linkedin.com/posts/dinesh-krishna-4a568782_ppc-forecasting-supplychain-activity-7444403543404359680-qpoi,LI-7444403543404359680,recovered,Canonical post and public outcomes are present in the normalized corpus.
97,resolved,high,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,,,exact_url_unresolved,No exact permalink was available without guessing.
98,resolved,high,Jonathan Parsons,https://www.linkedin.com/in/jonathan-parsons-marketing,https://www.linkedin.com/posts/jonathan-parsons-marketing_ai-isnt-complicated-you-were-just-taught-activity-7465809158206865409-mlld,LI-7465809158206865409,recovered,Canonical post and public outcomes are present in the normalized corpus.
99,resolved,high,Logistics Guide,https://www.linkedin.com/company/logistics-guide-2a9652167,https://www.linkedin.com/posts/logistics-guide-2a9652167_supplychain-logistics-excel-activity-7445658855327375360-z43w,LI-7445658855327375360,recovered,Canonical post and public outcomes are present in the normalized corpus.
