"candidate_id","cohort","size_stratum","creator","profile_url","approx_followers","followers_as_of","selection_provenance","fit_reason","prior_outcome_exposure","confidence","stage0_status","verification_required"
"IMP-E3","implementation_adjacent","emerging_1k_20k","Christoph Roser","https://www.linkedin.com/in/christoph-roser-allaboutlean","15400","2026-07-27","public_profile_discovery","Lean, value-stream, and process-improvement education","none_recorded","medium_high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"IMP-E4","implementation_adjacent","emerging_1k_20k","Elisabeth Swan","https://www.linkedin.com/in/elisabethswan","5000","2026-07-27","public_profile_discovery","Lean Six Sigma methods, toolkits, and practical process improvement","none_recorded","medium_high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"IMP-X1","implementation_adjacent","established_20k_plus","Leila Gharani","https://www.linkedin.com/in/leilagharani","170600","2026-07-27","public_profile_discovery","Excel, Python, and AI workflows demonstrated through work outputs","none_recorded","high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"IMP-X2","implementation_adjacent","established_20k_plus","Rachel Woods","https://www.linkedin.com/in/woodsrach","44000","2026-07-27","public_profile_discovery","AI workflows, operating systems, and adoption education","none_recorded","high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"IMP-X3","implementation_adjacent","established_20k_plus","Lisa Crosbie","https://www.linkedin.com/in/lisa-crosbie","41000","2026-07-27","public_profile_discovery","Copilot and Power Platform implementation explained for practitioners","none_recorded","high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"IMP-X4","implementation_adjacent","established_20k_plus","Katie Anderson","https://www.linkedin.com/in/kbjanderson","26000","2026-07-27","public_profile_discovery","Lean leadership and improvement systems tied to operating behavior","none_recorded","medium_high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"PLN-N1","planning_logistics","near_500_5k","Mary Kate Kloeblen","https://www.linkedin.com/in/mary-kate-kloeblen-16052225","4009","2026-07-27","public_profile_discovery_v4_stage0","First-person CPG operations cases spanning inventory contingency, fulfillment design, packaging cost, and 3PL selection","none_recorded","high","provisional","Confirm at least 20 English original in-window posts and public media retrieval"
"PLN-N2","planning_logistics","near_500_5k","John Kloetzing","https://www.linkedin.com/in/john-kloetzing","1367","2026-07-27","public_profile_discovery_v4_stage0","Practitioner-led IBP, scenario planning, pharma constraints, working capital, and AI decision architecture","none_recorded","high","provisional","Confirm at least 20 English original in-window posts; only 56 lifetime posts were publicly reported"
"PRC-N1","purchasing_procurement","near_500_5k","Nikhil Tripathi","https://www.linkedin.com/in/tripathinikhil","4623","2026-07-27","public_profile_discovery_v4_stage0","Procurement transformation, AI readiness, sourcing, stakeholder influence, and future operating models","none_recorded","high","provisional","Freeze follower snapshot below 5,000 and confirm at least 20 English original in-window posts"
"PRC-N2","purchasing_procurement","near_500_5k","John Kill","https://www.linkedin.com/in/johnckill","3067","2026-07-27","public_profile_discovery_v4_stage0","Manufacturing procurement cases covering reshoring, supplier criticality, spend visibility, sourcing discipline, and resilience","none_recorded","high","provisional","Confirm at least 20 English original in-window posts and that the current series is sustained"
"IMP-N1","implementation_adjacent","near_500_5k","Stuart Hardman","https://www.linkedin.com/in/stuart-hardman","978","2026-07-27","public_profile_discovery_v4_stage0","ERP implementation, Business Central, Copilot, Excel and OneDrive workflows, quality controls, and operational change","none_recorded","high","provisional","Confirm at least 20 English original in-window posts; exclude company and team updates through the relevance filter"
"IMP-N2","implementation_adjacent","near_500_5k","Niranjan Kulkarni","https://www.linkedin.com/in/niranjan-kulkarni-pk","4627","2026-07-27","public_profile_discovery_v4_stage0","Practical 5S, Lean Six Sigma, bottleneck removal, inventory cash flow, and manufacturing improvement","none_recorded","high","provisional","Freeze follower snapshot below 5,000; confirm at least 20 English original in-window posts and control commercial content"
