id,source_short,category,rigor,practitioner_usefulness,breadth_global_focus,timeliness,accessibility_overall,accessibility_label,website,tier,claude_readable,scout_routing,best_for_infographic,commentary
11,Journal of Supply Chain Management (JSCM),Academic journal,5,3,4,3,2,Mostly Paywalled,https://onlinelibrary.wiley.com/journal/15239796,1,No (PDF required),Academic evidence — governance & risk,Deep theoretical and empirical questions on governance / risk / sustainability / coordination,Rigorous evidence-backed answers to structural questions. Abstracts only — upload PDFs for full text.
12,Journal of Business Logistics (JBL),Academic journal,4,3,4,3,2,Mostly Paywalled,https://onlinelibrary.wiley.com/journal/21581592,1,No (PDF required),Academic evidence — logistics empirical,Logistics and SCM-specific empirical work on transportation / inventory / channel design,Logistics-centric empirical results. Abstracts and open-access only — upload PDFs for paywalled content.
13,Supply Chain Management: An International Journal (SCM IJ),Academic journal,4,3,4,3,2,Mostly Paywalled,https://www.emerald.com/insight/publication/issn/1359-8546,1,No (PDF required),Academic evidence — international SCM,High-impact broad-scope SCM research with strong international perspective,Internationally representative empirical studies. Open-access pieces only — otherwise upload PDFs.
14,International Journal of Physical Distribution & Logistics Management (IJPDLM),Academic journal,4,3,4,3,2,Mostly Paywalled,https://www.emerald.com/insight/publication/issn/0960-0035,1,No (PDF required),Academic evidence — logistics & distribution,Logistics / physical-distribution / transportation-focused empirical work,Logistics and physical-distribution research. Abstracts and open-access only.
15,SCM Journal List,Academic journal list / meta-source,4,2,4,3,3,Mostly Open,https://www.scmlist.com,2,Yes,Research map — journal rankings,Which journals to read / top-tier SCM research outlets / university rankings,Use to identify leading journals and universities. Claude can read and interpret rankings directly.
16,Supply Chain Management Review (SCMR),Trade media / magazine,3,5,4,4,4,Mostly Open,https://www.scmr.com,2,Yes,Strategic analysis — case studies,Strategy-level case studies / long-form articles / senior supply-chain leaders,Rich case-based strategic narratives. Most articles freely accessible.
17,Supply Chain Dive,Trade media / news,2,4,4,5,5,Mostly Open,https://www.supplychaindive.com,3,Yes,Real-time signals — disruptions & regulation,Daily news / disruptions / regulatory changes / short-term operational shifts,Real-time awareness of events regulations and disruptions. Read and track news directly.
18,CSCMP – Supply Chain Xchange (ex-Supply Chain Quarterly),Trade media / magazine,3,4,4,4,3,Partial / Freemium,https://cscmp.org/cscmp/develop/research/supply_chain_quarterly.aspx,2,Partial (public only),Strategic analysis — association-branded,Strategic association-branded content bridging academic and practitioner views,Practitioner-centric slightly-conceptual end-to-end supply-chain strategy. Public articles only.
19,Supply Chain Digest,Trade media / news,2,4,3,4,5,Mostly Open,https://www.scdigest.com,3,Yes,Real-time signals — curated news,Curated news plus commentary on logistics and SCM developments,Quick opinion-rich curated updates. Read and summarize directly.
20,SupplyChainBrain,Trade media / magazine,2,4,4,4,4,Mostly Open,https://www.supplychainbrain.com,2,Yes,Strategic analysis — thought leadership,Comprehensive coverage / multi-media content / thought-leadership / 100 Great Partners lists,Thought-leadership interviews vendor lists and cross-industry trend pieces.
21,Inbound Logistics,Trade media / magazine,2,4,3,4,5,Mostly Open,https://www.inboundlogistics.com,2,Yes,Logistics design — 3PL & distribution,Logistics-heavy content / transportation / 3PL selection / demand-driven logistics,Network-and-logistics-design guidance and 3PL-related material.
22,MITx MicroMasters in Supply Chain Management,Learning platform,4,4,4,4,4,Mostly Open,https://micromasters.mit.edu/scm/,2,Yes,Framework standards — curriculum,Framework refresh / applied case-based learning / network design / forecasting / inventory,Structured end-to-end curriculum mirroring consulting practice. Most content freely auditable.
23,Thinkers360 – Top 50 Thought Leading Companies on Supply Chain 2025,Person / thought-leader list,3,4,4,4,4,Mostly Open,https://lnkd.in/eTEgw3G8,3,Yes,Real-time signals — expert tracking,Curated list of leading companies and individuals shaping supply-chain thinking and practice,Identify key voices / blogs / LinkedIn / podcasts to follow and summarize.
24,WU-Vienna – Research Institute for Supply Chain Management (RI SCM),Academic / research center,4,4,4,4,3,Partial / Freemium,https://www.wu.ac.at/en/scm,1,Partial (open project pages),Academic evidence — EU integration,EU-centric inter-company supply-chain integration / material/information/financial-flow integration,Central and Eastern Europe-centric SCM research and policy-linked projects.
25,Brightlands Institute for Supply Chain Innovation (BISCI),Academic / research center,4,4,4,4,3,Partial / Freemium,https://www.maastrichtuniversity.nl/research/brightlands-institute-supply-chain-innovation,1,Partial (open summaries),Academic evidence — EU innovation,EU-centric innovation hub / sustainable / digital / circular supply chains,EU logistics-valley-style innovation work and sustainability-driven research.
26,All Things Supply Chain (blog),Practitioner blog,2,5,3,5,5,Mostly Open,https://www.connerindustries.com/13-must-read-supply-chain-blogs/all-things-supply-chain,3,Yes,Real-time signals — practitioner ground truth,Ground-level operations / 3PL KPIs / robotics / warehouse automation / real-world friction,How-things-actually-work anecdotes and practitioner-driven takeaways.
27,Supply Chain Now (podcast / media),Practitioner media,2,4,4,5,5,Mostly Open,https://supplychainnow.com,3,Yes,Real-time signals — practitioner conversations,Conversations with practitioners / analysts / vendors on planning / AI / orchestration / procurement,Narrative-rich real-time takes. Process transcripts or summaries.
28,Nordic / EU port-level / regional logistics body (e.g. Port of Malmö),Regional / policy,3,4,3,4,4,Mostly Open,https://www.portofmalmo.se/en,3,Yes,Nordic/EU context — port & trade,Trade-lane-specific regulation / port-level bottlenecks / customs / regional policy,Ground Nordic/EU flows and policy constraints. Read port updates policy briefs and press releases.
29,European Commission – Circular Economy / Sustainable Supply Chain reports,Regional / policy,3,4,4,4,4,Mostly Open,https://ec.europa.eu/growth/industry/strategy/circular-economy_en,2,Yes,Nordic/EU context — sustainability policy,EU-level sustainable supply-chain and circular-economy policy,Sustainability- and regulation-driven constraints and opportunities. Read and extract policy points.
30,Langebæk A/S (Scandinavian logistics & SCM),Nordic consultancy,3,5,3,4,4,Mostly Open,https://www.langebaek.com,2,Yes,Nordic/EU context — logistics optimization,Logistics and supply-chain optimization / warehousing / distribution-network design,Nordic-centric logistics-network redesign warehousing and distribution-flow optimization.
31,EFFSO – Procurement & Supply Chain (Nordic leader),Nordic consultancy,3,4,3,4,4,Mostly Open,https://www.effso.se/en,2,Yes,Nordic/EU context — procurement-led SCM,Procurement-driven supply-chain optimization and category-management supplier-network redesign,Nordic-centric procurement-led supply-chain projects.
32,Optilon – Supply Chain Management (Nordics),Nordic consultancy,3,5,3,5,4,Mostly Open,https://optilon.com,2,Yes,Nordic/EU context — AI-driven planning,Production planning / inventory optimization / AI-and-analytics-driven supply-chain design,Nordic-centric AI-driven optimization and planning projects.
33,Centric Consulting (Sweden),Nordic consultancy,3,4,3,4,4,Mostly Open,https://www.centric.se,2,Yes,Nordic/EU context — S&OP Sweden,S&OP / inventory optimization / supply-chain-team restructuring for Swedish companies,Nordic-centric strategy-to-implementation S&OP and supply-chain-restructuring work.
34,Supply Chain Total (Sweden),Nordic consultancy,3,4,3,4,4,Mostly Open,https://www.supplychaintotal.se,2,Yes,Nordic/EU context — global strategy Sweden,Global supply-chain-strategy / supply planning / procurement / logistics for Nordic companies,Nordic-centric end-to-end global-supply-chain-design and supplier-network-optimization.
35,Nordic Supply Chain (NSC AB – Malmö),Nordic consultancy,3,4,3,4,4,Mostly Open,https://www.nordicsupplychain.se,2,Yes,Nordic/EU context — Malmö procurement,Procurement and supply-chain-management consulting with Nordic focus based in Malmö,Malmö/Nordic-centric procurement and SCM capability-building projects.
36,MA-system Consulting (Sweden),Nordic consultancy,3,4,3,4,4,Mostly Open,https://www.masystem.se,2,Yes,Nordic/EU context — profitability redesign,Business-logistics and supply-chain management / profitability-driven redesign,Nordic-centric profitability-driven logistics and SCM-redesign projects.
37,Sicopa (Supply Chain Management),Nordic consultancy,3,4,3,4,4,Mostly Open,https://www.sicopa.se,2,Yes,Nordic/EU context — sustainability SCM,Strategic / tactical / operational SCM consulting with strong sustainability angle,Nordic-centric sustainability-integrated SCM projects.
